Website,Timeout
fonts.googleapis.com,0.114079
facebook.com,0.31717
twitter.com,0.221175
google.com,0.145786
youtube.com,0.124039
s.w.org,0.785344
instagram.com,0.35054
googletagmanager.com,0.085949
linkedin.com,0.423397
ajax.googleapis.com,0.66954
plus.google.com,0.067784
gmpg.org,0.890972
pinterest.com,0.472335
fonts.gstatic.com,0.111739
wordpress.org,0.775537
en.wikipedia.org,0.030909
youtu.be,0.130486
maps.google.com,0.149641
itunes.apple.com,0.071352
github.com,0.121056
bit.ly,0.578851
play.google.com,0.12315
goo.gl,0.516736
docs.google.com,0.073128
cdnjs.cloudflare.com,0.128804
vimeo.com,0.054914
support.google.com,0.19547
google-analytics.com,0.102568
maps.googleapis.com,0.805334
flickr.com,0.458178
